seed,status,score,bucket,reason,elapsed_ms,expanded_nodes,unique_states
117,solved,114609.175000,Hard,,1060.680,1118,1255
118,solved,89899.923000,Medium,,390.767,319,505
119,solved,84400.866000,Easy,,613.459,143,275
120,solved,90146.204000,Medium,,565.140,437,524
121,solved,86758.365000,Easy,,232.298,168,276
122,solved,124107.098000,Hard,,1270.648,1371,1748
123,unknown,,unknown,limits_reached,20001.739,12360,48817
124,solved,104807.508000,Hard,,298.659,126,272
125,solved,87751.795000,Easy,,230.491,137,293
126,solved,118566.096000,Hard,,855.306,695,905
127,solved,86987.771000,Easy,,820.558,302,733
128,solved,92055.920000,Medium,,2130.348,1012,1334
129,solved,101502.405000,Medium,,389.054,358,434
130,solved,125899.111000,Hard,,1641.757,1227,1393
131,solved,85753.052000,Easy,,534.259,318,478
132,solved,104134.108000,Hard,,3184.734,1924,3854
133,solved,83210.791000,Easy,,227.921,114,325
134,solved,90522.321000,Medium,,222.762,96,315
135,solved,106354.851000,Hard,,3628.381,3575,4332
136,unknown,,unknown,limits_reached,5756.045,4914,80976
137,solved,85560.719000,Easy,,208.333,61,208
138,solved,91448.593000,Medium,,153.651,72,172
139,solved,87156.752000,Easy,,373.389,256,597
140,solved,82322.396000,Easy,,231.277,95,220
141,solved,122871.678000,Hard,,3503.235,2889,3302
142,unknown,,unknown,limits_reached,5236.824,3621,78836
143,solved,93233.590000,Medium,,2394.764,513,906
144,solved,86139.171000,Easy,,801.522,415,855
145,solved,99894.471000,Medium,,1574.136,1476,2412
146,solved,94458.535000,Medium,,180.876,127,287
147,unknown,,unknown,limits_reached,13011.518,9587,104154
148,solved,91844.484000,Medium,,539.148,219,662
149,solved,132659.917000,Hard,,646.710,806,1060
150,solved,88978.248000,Easy,,1024.179,446,673
151,solved,136588.965000,Hard,,5526.447,4101,4934
152,solved,83904.351000,Easy,,136.512,55,164
153,solved,94743.035000,Medium,,528.847,261,592
154,unknown,,unknown,limits_reached,5068.234,4336,61953
155,solved,117304.601000,Hard,,432.093,341,473
156,solved,123543.873000,Hard,,860.937,771,1042
157,solved,89868.600000,Medium,,306.458,145,513
158,solved,174223.180000,Hard,,2502.643,2263,2479
159,solved,111636.947000,Hard,,262.742,124,224
160,solved,128778.085000,Hard,,1980.031,764,1151
161,solved,87155.570000,Easy,,502.210,209,585
162,solved,93908.344000,Medium,,5096.909,988,2066
163,solved,127246.918000,Hard,,697.024,510,744
164,solved,147021.748000,Hard,,3434.518,4477,50725
165,solved,89725.380000,Easy,,759.358,422,1131
166,solved,88500.389000,Easy,,110.007,62,199
167,solved,162039.632000,Hard,,7959.201,10424,10634
168,solved,110063.024000,Hard,,1297.318,557,1090
169,solved,89055.063000,Easy,,7172.060,814,1344
170,solved,89623.074000,Easy,,170.202,108,409
171,solved,84109.135000,Easy,,269.487,136,303
172,solved,136369.363000,Hard,,1752.022,776,1515
173,unknown,,unknown,limits_reached,20023.414,5018,100143
174,solved,86377.765000,Easy,,289.010,105,244
175,unknown,,unknown,limits_reached,20008.488,9033,89724
176,solved,96788.711000,Medium,,114.875,51,136
177,solved,98152.527000,Medium,,4804.082,1073,3432
178,solved,128873.018000,Hard,,2342.032,1806,2001
179,unknown,,unknown,limits_reached,12340.114,6268,93705
180,unknown,,unknown,limits_reached,5419.882,5408,83978
181,solved,108350.848000,Hard,,155.403,66,179
182,solved,89784.461000,Easy,,1092.095,279,565
183,solved,120028.884000,Hard,,685.776,177,350
184,solved,97383.582000,Medium,,337.500,98,289
185,solved,88680.951000,Easy,,1399.726,475,888
186,solved,120142.034000,Hard,,704.770,345,475
187,solved,126310.386000,Hard,,2443.252,2149,2327
188,solved,145626.073000,Hard,,4388.321,3191,3512
189,solved,93251.395000,Medium,,249.502,117,280
190,solved,86894.588000,Easy,,438.639,215,481
191,solved,95357.629000,Medium,,146.624,69,151
192,solved,145554.572000,Hard,,19030.999,5986,65094
193,solved,91825.255000,Medium,,323.189,94,288
194,solved,121304.101000,Hard,,5703.755,2472,2855
195,solved,119891.476000,Hard,,1003.185,374,882
196,solved,115184.240000,Hard,,719.973,696,792
197,solved,91303.452000,Medium,,690.918,149,589
198,solved,98522.290000,Medium,,472.853,328,555
199,unknown,,unknown,limits_reached,5087.154,4382,57599
200,solved,98182.870000,Medium,,876.756,514,799
201,solved,84044.798000,Easy,,211.398,50,176
202,solved,99392.159000,Medium,,376.540,161,341
203,solved,115767.382000,Hard,,751.202,808,922
204,solved,98715.220000,Medium,,1775.740,1749,2418
205,solved,87932.199000,Easy,,2809.601,632,1068
206,solved,132153.562000,Hard,,333.316,202,375
207,solved,83323.761000,Easy,,433.909,81,191
208,solved,107308.051000,Hard,,816.548,809,931
209,solved,129215.468000,Hard,,1565.736,1611,1726
210,solved,86840.541000,Easy,,1574.614,446,619
211,solved,105702.903000,Hard,,114.631,73,178
212,solved,102111.829000,Medium,,3236.416,1226,2558
213,solved,95817.241000,Medium,,5186.376,811,1346
214,solved,87786.456000,Easy,,522.325,195,529
215,solved,117249.958000,Hard,,158.645,106,221
216,solved,110005.717000,Hard,,482.568,298,485
217,solved,128688.485000,Hard,,6943.926,6277,6589
218,solved,93815.649000,Medium,,513.524,602,759
219,solved,93007.801000,Medium,,6259.630,1411,2239
220,solved,85314.053000,Easy,,181.902,97,339
221,solved,95041.954000,Medium,,195.380,79,208
222,solved,102853.947000,Medium,,205.292,114,217
223,solved,94099.738000,Medium,,2247.395,418,1268
224,solved,111348.082000,Hard,,471.988,451,572
225,solved,84060.191000,Easy,,195.399,74,234
226,solved,136413.381000,Hard,,988.130,1285,1469
227,solved,87670.654000,Easy,,342.330,207,432
228,solved,119696.341000,Hard,,211.983,129,240
229,unknown,,unknown,limits_reached,20011.220,5450,94846
230,unknown,,unknown,limits_reached,20020.907,6410,98914
231,solved,81935.644000,Easy,,155.672,47,154
232,solved,93558.145000,Medium,,328.007,112,344
233,solved,94714.687000,Medium,,213.103,100,414
234,unknown,,unknown,limits_reached,5311.242,4924,87872
235,solved,92089.299000,Medium,,134.128,53,163
236,solved,85011.014000,Easy,,899.520,393,543
237,unknown,,unknown,limits_reached,20005.282,6612,91820
238,solved,89359.523000,Easy,,3212.530,618,812
239,solved,118120.920000,Hard,,1546.383,1204,1379
240,solved,96625.935000,Medium,,1572.918,584,851
241,unknown,,unknown,limits_reached,20034.202,12155,90884
242,solved,86796.563000,Easy,,254.853,66,217
243,solved,130446.295000,Hard,,1055.971,793,1156
244,solved,118446.087000,Hard,,545.537,456,574
245,solved,96829.164000,Medium,,2422.861,638,1959
246,solved,96867.572000,Medium,,579.120,307,699
247,solved,108979.141000,Hard,,351.984,192,407
248,solved,94757.468000,Medium,,158.914,82,174
249,solved,87510.892000,Easy,,1626.195,380,671
250,solved,120695.143000,Hard,,392.037,309,416
251,solved,93616.740000,Medium,,4865.540,1990,2980
252,solved,96760.744000,Medium,,3596.215,831,1520
253,solved,89422.762000,Easy,,716.834,250,753
254,solved,81784.376000,Easy,,128.353,66,127
255,solved,95063.710000,Medium,,234.736,63,267
256,solved,109666.553000,Hard,,977.766,554,785
257,solved,93122.415000,Medium,,235.626,85,279
258,unknown,,unknown,limits_reached,5018.137,14447,19192
259,solved,88739.521000,Easy,,826.981,420,995
260,solved,89762.489000,Easy,,430.593,154,468
261,solved,84383.814000,Easy,,562.386,163,517
262,solved,90494.936000,Medium,,509.885,233,775
263,unknown,,unknown,limits_reached,20012.785,8412,105498
264,solved,85410.460000,Easy,,276.709,89,236
265,solved,84945.814000,Easy,,266.398,66,172
266,unknown,,unknown,limits_reached,20019.888,6129,93041
267,solved,93971.492000,Medium,,346.257,157,634
268,unknown,,unknown,limits_reached,20017.921,9678,102016
269,solved,93119.056000,Medium,,413.729,148,321
270,unknown,,unknown,limits_reached,20003.657,16883,96399
271,solved,95264.965000,Medium,,1056.948,571,1011
272,solved,90242.076000,Medium,,176.052,81,168
273,solved,100798.175000,Medium,,534.144,411,851
274,solved,88615.066000,Easy,,212.038,155,252
275,solved,88574.190000,Easy,,630.400,164,500
276,solved,93098.275000,Medium,,299.049,230,428
277,solved,148639.515000,Hard,,1275.837,979,1109
278,solved,116311.110000,Hard,,1912.511,1631,1792
279,solved,156592.514000,Hard,,19521.183,8150,78562
280,solved,84475.993000,Easy,,175.828,52,201
281,unknown,,unknown,limits_reached,13035.904,12524,91652
282,solved,90346.752000,Medium,,272.415,171,248
283,solved,120061.432000,Hard,,227.540,154,291
284,solved,120006.171000,Hard,,2448.812,1873,2020
285,solved,94433.514000,Medium,,4017.447,2640,3606
286,unknown,,unknown,limits_reached,5629.407,5097,81705
287,solved,84763.487000,Easy,,300.975,84,265
288,unknown,,unknown,limits_reached,12206.624,12707,39322
289,unknown,,unknown,limits_reached,5248.607,5126,77856
290,solved,92548.402000,Medium,,1170.084,361,1100
291,solved,117327.738000,Hard,,472.035,463,696
292,solved,88372.745000,Easy,,884.634,207,469
293,solved,84732.323000,Easy,,294.755,69,234
294,unknown,,unknown,limits_reached,20038.761,6620,95153
295,solved,89662.661000,Easy,,175.919,60,172
296,solved,88976.759000,Easy,,3078.525,782,1151
297,unknown,,unknown,limits_reached,20180.922,5308,96783
298,unknown,,unknown,limits_reached,13337.409,15509,79882
299,solved,87263.756000,Easy,,496.070,229,401
300,solved,94340.640000,Medium,,1553.700,390,620
301,solved,92313.676000,Medium,,189.985,59,181
302,solved,83719.896000,Easy,,732.642,178,383
303,solved,84518.290000,Easy,,141.287,62,189
304,solved,116168.312000,Hard,,297.408,122,304
305,solved,94814.809000,Medium,,121.555,66,146
306,solved,131139.351000,Hard,,2018.247,1279,1467
307,solved,95162.429000,Medium,,226.664,97,262
308,unknown,,unknown,limits_reached,20017.503,7782,76454
309,solved,87331.051000,Easy,,615.838,164,516
310,unknown,,unknown,limits_reached,20004.908,6336,101931
311,solved,86405.850000,Easy,,659.200,261,609
312,solved,114699.047000,Hard,,971.339,550,976
313,unknown,,unknown,limits_reached,20026.232,6635,101903
314,unknown,,unknown,limits_reached,12452.981,8912,66871
315,solved,100551.915000,Medium,,439.126,384,509
316,solved,117303.943000,Hard,,2129.609,2585,2796
317,solved,86788.625000,Easy,,228.950,89,279
318,solved,98364.974000,Medium,,279.544,192,431
319,solved,84217.791000,Easy,,3334.023,758,1062
320,solved,91085.664000,Medium,,714.676,267,806
321,solved,98658.302000,Medium,,328.222,148,450
322,unknown,,unknown,limits_reached,20001.686,12415,108149
323,solved,100576.026000,Medium,,297.395,128,307
324,solved,91435.475000,Medium,,3453.017,734,913
325,unknown,,unknown,limits_reached,14900.171,15341,49039
326,solved,99508.753000,Medium,,225.063,66,208
327,solved,126128.325000,Hard,,866.613,574,841
328,solved,109428.576000,Hard,,833.875,909,1060
329,solved,110801.700000,Hard,,319.851,252,364
330,solved,85005.735000,Easy,,429.159,103,339
331,solved,123523.825000,Hard,,3534.792,1267,1578
332,solved,84891.169000,Easy,,448.404,117,302
333,solved,131786.816000,Hard,,778.357,360,488
334,solved,147723.759000,Hard,,18462.643,9692,77735
335,solved,95565.990000,Medium,,532.971,129,400
336,solved,110454.419000,Hard,,412.744,141,316
337,solved,98199.430000,Medium,,306.660,144,300
338,solved,89278.789000,Easy,,4950.465,3081,4076
339,solved,113985.266000,Hard,,2688.094,2879,3144
340,solved,101771.101000,Medium,,352.656,94,346
341,solved,82198.604000,Easy,,474.582,107,314
342,solved,82883.379000,Easy,,205.232,75,221
343,solved,102179.243000,Medium,,4692.209,1660,4132
344,solved,150032.037000,Hard,,969.826,482,615
345,unknown,,unknown,limits_reached,20007.682,6703,96075
346,solved,86238.213000,Easy,,883.972,168,480
347,unknown,,unknown,limits_reached,5021.306,5510,89202
348,solved,110892.440000,Hard,,533.897,532,682
349,solved,83678.460000,Easy,,144.078,52,144
350,unknown,,unknown,limits_reached,5009.678,13620,24021
351,solved,157692.503000,Hard,,667.826,436,519
352,solved,83659.723000,Easy,,148.952,61,187
353,solved,95073.234000,Medium,,337.991,139,550
354,solved,123482.976000,Hard,,2972.866,2789,3050
355,solved,83139.452000,Easy,,397.762,195,399
356,solved,118537.362000,Hard,,2916.010,1712,1857
357,unknown,,unknown,limits_reached,12836.079,10119,82684
358,solved,86742.722000,Easy,,310.588,106,404
359,solved,98091.367000,Medium,,350.692,257,365
360,solved,140853.991000,Hard,,1789.074,2309,2592
361,solved,82997.890000,Easy,,125.310,45,149
362,unknown,,unknown,limits_reached,12047.461,19984,23295
363,solved,110576.845000,Hard,,366.783,193,473
364,solved,86785.639000,Easy,,311.196,81,234
365,solved,83691.861000,Easy,,3633.080,777,1196
366,solved,81721.076000,Easy,,254.778,67,184
367,solved,140723.602000,Hard,,2271.722,1260,1877
368,solved,86624.374000,Easy,,427.118,266,666
369,solved,123374.621000,Hard,,6193.398,3970,4184
370,solved,164520.949000,Hard,,724.844,671,851
371,solved,100906.296000,Medium,,331.511,137,476
372,solved,150654.995000,Hard,,572.551,788,933
373,solved,127150.262000,Hard,,203.108,214,368
374,solved,82720.267000,Easy,,173.080,69,236
375,solved,121301.156000,Hard,,528.115,286,388
376,solved,87131.415000,Easy,,170.194,72,245
377,solved,84249.274000,Easy,,181.830,46,150
378,solved,91146.136000,Medium,,665.678,183,505
379,unknown,,unknown,limits_reached,20005.999,5112,91842
380,solved,92698.027000,Medium,,294.604,118,290
381,solved,94611.349000,Medium,,2264.325,659,1378
382,solved,91819.407000,Medium,,1151.958,192,660
383,solved,141035.991000,Hard,,2863.456,1841,1970
384,solved,86138.906000,Easy,,1486.391,348,651
385,solved,90229.414000,Medium,,4904.612,1193,2491
386,solved,87366.741000,Easy,,348.413,141,512
387,solved,165406.538000,Hard,,5002.302,5187,93074
388,solved,87011.623000,Easy,,1002.753,272,607
389,unknown,,unknown,limits_reached,6228.592,25726,28317
390,solved,85119.935000,Easy,,184.280,55,181
391,solved,118060.574000,Hard,,182.555,125,246
392,solved,85602.970000,Easy,,720.255,140,398
393,solved,95623.873000,Medium,,2838.320,1419,4787
394,solved,103188.816000,Medium,,1389.940,1765,1889
395,solved,87757.205000,Easy,,358.404,135,267
396,solved,149581.797000,Hard,,5374.798,4030,5320
397,solved,132203.459000,Hard,,1442.907,1310,1838
398,solved,94195.271000,Medium,,289.732,84,215
399,solved,116009.738000,Hard,,869.639,777,1095
400,solved,91243.099000,Medium,,1037.911,279,962
401,unknown,,unknown,limits_reached,5795.316,17796,34112
402,solved,86148.029000,Easy,,247.622,102,372
403,unknown,,unknown,limits_reached,20008.471,7034,97401
404,solved,118096.647000,Hard,,2236.885,1741,1872
405,solved,84388.513000,Easy,,245.274,59,202
406,solved,89279.230000,Easy,,2115.040,701,993
407,solved,89113.479000,Easy,,120.153,51,152
408,solved,118827.240000,Hard,,2175.301,1738,1900
409,solved,86172.760000,Easy,,1209.265,806,905
410,solved,92623.651000,Medium,,3489.959,669,993
411,solved,150840.388000,Hard,,4460.363,6905,7191
412,solved,87968.269000,Easy,,153.814,60,256
413,solved,111353.658000,Hard,,901.247,736,1097
414,solved,125105.087000,Hard,,1548.422,1687,1979
415,solved,96003.890000,Medium,,611.433,302,485
416,solved,95586.217000,Medium,,6356.734,1255,1473
417,solved,94920.194000,Medium,,5669.811,1637,2409
418,unknown,,unknown,limits_reached,20005.886,12662,92202
419,solved,86681.489000,Easy,,258.338,74,235
420,solved,87153.875000,Easy,,236.033,85,289
421,solved,91952.717000,Medium,,924.426,294,680
422,solved,118499.755000,Hard,,410.795,158,301
423,solved,155906.928000,Hard,,19833.380,7531,94016
424,solved,90521.146000,Medium,,1096.917,451,1819
425,solved,89857.105000,Medium,,627.646,247,533
426,solved,98300.953000,Medium,,195.905,101,253
427,solved,86551.604000,Easy,,118.275,46,170
428,solved,103890.416000,Hard,,978.070,696,1110
429,solved,87639.134000,Easy,,623.617,197,474
430,solved,115210.660000,Hard,,530.190,474,606
431,solved,88235.506000,Easy,,352.557,149,380
432,solved,95603.271000,Medium,,1191.267,422,802
433,solved,92919.149000,Medium,,427.166,116,355
434,solved,139030.420000,Hard,,883.138,734,902
435,solved,90126.448000,Medium,,5750.228,1234,1444
436,solved,129508.872000,Hard,,382.432,225,336
437,solved,91079.816000,Medium,,359.824,126,453
438,solved,93658.088000,Medium,,780.088,445,1213
439,solved,106281.703000,Hard,,386.319,237,346
440,solved,89458.160000,Easy,,365.389,114,392
441,solved,86766.253000,Easy,,4041.250,959,1257
442,solved,84299.412000,Easy,,305.536,70,267
443,solved,93427.841000,Medium,,250.613,94,300
444,solved,84008.828000,Easy,,477.558,144,259
445,solved,92257.790000,Medium,,747.482,405,528
446,unknown,,unknown,limits_reached,13451.137,13645,79566
447,solved,97994.752000,Medium,,188.474,147,288
448,solved,87748.443000,Easy,,491.076,145,393
449,solved,111299.988000,Hard,,495.979,582,703
450,solved,95014.340000,Medium,,198.709,76,235
451,solved,97653.614000,Medium,,6799.064,3955,4713
452,solved,121253.036000,Hard,,847.831,988,1536
453,solved,117720.829000,Hard,,1815.975,1790,2586
454,solved,112227.032000,Hard,,289.009,279,346
455,solved,110131.159000,Hard,,4931.069,6432,6658
456,solved,106901.324000,Hard,,211.148,105,252
457,solved,92783.547000,Medium,,364.103,130,462
458,solved,101458.568000,Medium,,400.995,182,616
459,solved,92668.950000,Medium,,403.561,272,499
460,solved,92867.179000,Medium,,529.001,221,680
461,solved,87499.106000,Easy,,318.573,106,327
462,unknown,,unknown,limits_reached,20008.494,12208,100913
463,solved,99814.889000,Medium,,238.193,256,405
464,solved,83544.297000,Easy,,156.955,57,168
465,solved,92062.826000,Medium,,3917.726,604,946
466,solved,91286.013000,Medium,,1085.479,393,1321
467,solved,84914.293000,Easy,,154.771,68,237
468,solved,91493.009000,Medium,,1275.086,456,936
469,unknown,,unknown,limits_reached,20185.827,8815,104738
470,solved,93675.004000,Medium,,289.031,86,305
471,solved,87478.643000,Easy,,856.251,735,898
472,solved,165123.425000,Hard,,1238.923,925,1045
473,solved,99826.753000,Medium,,516.907,380,548
474,unknown,,unknown,limits_reached,13013.514,15459,89290
475,solved,118427.059000,Hard,,840.516,1030,1510
476,solved,92293.762000,Medium,,129.601,61,161
477,solved,101340.085000,Medium,,1025.981,526,803
478,solved,123181.154000,Hard,,471.650,265,585
479,solved,85319.868000,Easy,,355.983,150,363
480,solved,106005.627000,Hard,,675.784,551,771
481,unknown,,unknown,limits_reached,20009.646,7422,99505
482,solved,90315.896000,Medium,,302.722,148,377
483,solved,92250.017000,Medium,,316.503,156,488
484,solved,85604.651000,Easy,,361.498,111,316
485,solved,124033.839000,Hard,,445.817,237,523
486,solved,131899.087000,Hard,,2337.491,1955,2998
487,solved,82063.614000,Easy,,163.922,73,187
488,solved,87708.989000,Easy,,277.969,96,354
489,solved,97959.325000,Medium,,642.045,159,538
490,solved,90313.215000,Medium,,447.327,165,436
491,solved,90745.573000,Medium,,402.168,155,354
492,solved,86251.628000,Easy,,241.716,107,373
493,solved,99912.485000,Medium,,186.495,142,235
494,solved,90499.588000,Medium,,857.801,378,867
495,solved,114103.488000,Hard,,982.592,836,1182
496,solved,94034.640000,Medium,,182.750,77,205
497,unknown,,unknown,limits_reached,12065.611,8112,69380
498,solved,86733.450000,Easy,,275.888,124,414
499,solved,94928.159000,Medium,,197.400,102,210
500,solved,133336.826000,Hard,,6523.916,6331,6521
501,solved,92085.639000,Medium,,1471.725,339,1213
502,solved,91070.125000,Medium,,510.073,183,416
503,unknown,,unknown,limits_reached,20013.223,7856,105721
504,solved,96067.355000,Medium,,1393.021,450,1143
505,solved,86939.147000,Easy,,159.994,67,202
506,solved,106023.412000,Hard,,245.349,169,275
507,solved,102657.565000,Medium,,6909.228,3041,6089
508,solved,99919.708000,Medium,,420.222,211,476
509,solved,90221.985000,Medium,,5373.675,953,1624
510,solved,97893.684000,Medium,,3127.687,1819,1998
511,unknown,,unknown,limits_reached,20257.604,7695,91749
512,solved,92418.630000,Medium,,316.011,142,575
513,solved,106304.360000,Hard,,218.538,104,283
514,solved,120230.130000,Hard,,615.358,696,847
515,solved,140310.706000,Hard,,405.435,384,492
516,solved,92829.603000,Medium,,293.260,185,362
517,solved,87086.655000,Easy,,129.628,68,193
518,solved,88935.614000,Easy,,1729.464,415,869
519,solved,127126.826000,Hard,,666.593,489,598
520,solved,85499.186000,Easy,,721.882,246,436
521,solved,87451.891000,Easy,,153.558,65,220
522,solved,102440.622000,Medium,,1921.514,1471,1814
523,solved,93138.145000,Medium,,326.040,83,182
524,solved,93506.125000,Medium,,1879.131,884,1702
525,solved,92374.776000,Medium,,249.247,129,409
526,solved,143804.491000,Hard,,584.365,324,584
527,solved,91506.142000,Medium,,498.135,354,661
528,solved,123658.374000,Hard,,181.512,99,173
529,solved,86069.517000,Easy,,233.418,66,192
530,solved,84685.968000,Easy,,1943.426,446,597
531,solved,92375.302000,Medium,,196.383,118,319
532,solved,117141.270000,Hard,,951.403,645,1112
533,solved,97268.025000,Medium,,759.788,620,744
534,solved,86445.516000,Easy,,2533.707,433,597
535,solved,95940.530000,Medium,,5483.264,882,1619
536,solved,105897.490000,Hard,,597.525,488,667
537,unknown,,unknown,limits_reached,20011.910,16674,89095
538,solved,85377.347000,Easy,,151.003,58,224
539,solved,97639.161000,Medium,,224.221,107,317
540,solved,128686.247000,Hard,,165.752,116,260
541,unknown,,unknown,limits_reached,20016.006,8466,111790
542,solved,123614.645000,Hard,,568.250,550,850
543,solved,101726.153000,Medium,,247.006,110,317
544,solved,87917.901000,Easy,,505.063,138,454
545,solved,104356.724000,Hard,,493.837,391,542
546,solved,111963.243000,Hard,,377.035,280,542
547,solved,98683.821000,Medium,,343.247,243,363
548,solved,89104.713000,Easy,,1347.845,245,422
549,unknown,,unknown,limits_reached,5168.719,4644,72585
550,solved,89112.320000,Easy,,348.851,176,725
551,solved,82468.857000,Easy,,124.304,50,166
552,solved,90225.793000,Medium,,586.890,257,796
553,solved,105612.521000,Hard,,168.285,99,220
