seed,status,score,bucket,reason,elapsed_ms,expanded_nodes,unique_states
1,solved,93103.299000,Medium,,463.309,231,644
2,solved,80109.346000,Easy,,105.737,32,115
3,solved,148179.076000,Hard,,874.052,904,1364
4,solved,97813.057000,Medium,,466.283,331,411
5,solved,94461.312000,Medium,,533.883,148,574
6,solved,91888.763000,Medium,,1982.400,609,1078
7,solved,106912.323000,Hard,,1914.842,1087,1930
8,solved,87224.974000,Easy,,1311.381,228,766
9,solved,124085.796000,Hard,,472.674,250,327
10,unknown,,unknown,limits_reached,20013.186,7412,91669
11,solved,88870.993000,Easy,,985.274,212,458
12,solved,83519.902000,Easy,,179.251,64,202
13,solved,133380.962000,Hard,,5053.050,6194,6591
14,solved,154551.924000,Hard,,2763.120,1926,2378
15,solved,106003.835000,Hard,,378.890,232,756
16,solved,87878.323000,Easy,,262.279,115,403
17,solved,118132.364000,Hard,,501.854,314,793
18,unknown,,unknown,limits_reached,20015.602,3709,88702
19,unknown,,unknown,limits_reached,6790.524,5911,88762
20,solved,84485.325000,Easy,,140.758,47,206
21,solved,110708.129000,Hard,,239.615,227,429
22,solved,115745.569000,Hard,,552.322,349,670
23,solved,89759.868000,Easy,,4263.989,817,1099
24,solved,136375.636000,Hard,,2282.199,1918,2057
25,solved,111779.339000,Hard,,6913.886,7655,8135
26,solved,88637.452000,Easy,,404.849,140,488
27,solved,109538.182000,Hard,,1649.806,687,1365
28,unknown,,unknown,limits_reached,20141.430,7843,101807
29,solved,85067.781000,Easy,,235.237,76,241
30,solved,136277.489000,Hard,,1883.361,2242,2322
31,solved,88035.324000,Easy,,4090.043,797,1914
32,unknown,,unknown,limits_reached,20069.294,5098,95608
33,solved,103629.207000,Hard,,935.047,602,918
34,solved,149860.998000,Hard,,1349.975,699,804
35,solved,137479.137000,Hard,,1137.499,865,1200
36,solved,95106.247000,Medium,,381.124,131,377
37,solved,110053.941000,Hard,,3034.524,1664,2152
38,solved,86063.919000,Easy,,328.813,335,482
39,solved,104570.672000,Hard,,973.720,817,927
40,unknown,,unknown,limits_reached,20240.682,7134,91990
41,solved,99140.140000,Medium,,182.807,65,162
42,solved,94264.619000,Medium,,6882.686,2017,2549
43,solved,88057.506000,Easy,,215.076,56,185
44,solved,116004.961000,Hard,,3063.945,3165,3473
45,solved,93090.892000,Medium,,168.855,63,188
46,solved,86517.846000,Easy,,271.325,65,219
47,solved,84742.098000,Easy,,172.849,48,164
48,solved,130932.933000,Hard,,969.992,475,928
49,solved,121508.500000,Hard,,5227.768,5204,5318
50,solved,114604.681000,Hard,,3344.491,3592,4425
51,solved,97170.547000,Medium,,1273.089,1144,2390
52,solved,87986.817000,Easy,,243.642,140,355
53,solved,86543.153000,Easy,,501.928,286,560
54,unknown,,unknown,limits_reached,5126.416,5209,68648
55,solved,155317.479000,Hard,,3219.933,4113,65304
56,unknown,,unknown,limits_reached,12247.592,9211,67234
57,solved,115218.105000,Hard,,298.050,243,362
58,solved,95691.805000,Medium,,579.715,414,531
59,solved,86997.673000,Easy,,229.999,83,256
60,solved,85980.085000,Easy,,1227.886,211,491
61,solved,92592.018000,Medium,,1277.753,498,1008
62,solved,150267.386000,Hard,,10224.508,4816,64986
63,solved,86297.431000,Easy,,1393.882,323,546
64,solved,85929.239000,Easy,,256.771,104,284
65,solved,95244.499000,Medium,,450.009,208,475
66,unknown,,unknown,limits_reached,20214.176,6132,92428
67,solved,90236.396000,Medium,,736.897,279,868
68,solved,127076.219000,Hard,,1428.606,525,739
69,solved,86058.613000,Easy,,1247.850,202,334
70,solved,92722.916000,Medium,,1616.684,561,904
71,solved,116164.226000,Hard,,643.882,640,880
72,solved,90289.983000,Medium,,1396.569,414,912
73,solved,119938.733000,Hard,,6533.325,5975,6145
74,solved,89690.133000,Easy,,1562.664,629,1012
75,unknown,,unknown,limits_reached,20006.898,14731,100248
76,solved,88528.086000,Easy,,1035.937,430,818
77,solved,99914.340000,Medium,,3696.419,1540,2384
78,solved,115614.123000,Hard,,2442.136,2456,2637
79,unknown,,unknown,limits_reached,20008.513,5666,92428
80,solved,84189.198000,Easy,,137.940,64,153
81,solved,151403.357000,Hard,,2456.938,2267,2442
82,solved,109462.433000,Hard,,1183.855,967,1285
83,unknown,,unknown,limits_reached,12534.103,15597,43085
84,solved,92136.204000,Medium,,274.503,105,218
85,solved,102678.581000,Medium,,2969.428,1215,2082
86,solved,83101.729000,Easy,,980.544,212,471
87,solved,85349.436000,Easy,,4403.843,589,780
88,solved,86060.820000,Easy,,229.013,66,237
89,solved,168290.370000,Hard,,571.677,301,468
90,solved,136653.088000,Hard,,299.686,135,291
91,solved,86723.365000,Easy,,265.034,126,379
92,solved,90688.973000,Medium,,1934.498,716,1677
93,solved,120126.735000,Hard,,6226.422,6137,6214
94,solved,126702.027000,Hard,,2648.662,2224,2409
95,solved,91602.655000,Medium,,636.607,115,379
96,solved,112444.762000,Hard,,393.393,73,186
97,solved,113050.456000,Hard,,514.097,226,304
98,solved,87504.819000,Easy,,1173.150,208,400
99,solved,110262.652000,Hard,,911.145,275,400
100,solved,83680.584000,Easy,,183.803,96,182
101,solved,108223.050000,Hard,,778.083,407,644
102,solved,90798.314000,Medium,,1457.724,244,760
103,solved,138134.787000,Hard,,3457.113,3141,3347
104,solved,81814.973000,Easy,,229.560,76,161
105,solved,80411.735000,Easy,,188.454,37,114
106,solved,85206.222000,Easy,,248.536,78,228
107,solved,126044.802000,Hard,,2605.455,2268,2494
108,solved,125027.411000,Hard,,884.520,511,670
109,solved,113547.708000,Hard,,329.356,121,358
110,solved,83567.555000,Easy,,224.100,82,185
111,solved,87008.914000,Easy,,701.949,208,500
112,solved,134220.893000,Hard,,373.057,246,383
113,solved,92752.685000,Medium,,428.525,148,500
114,solved,104606.118000,Hard,,145.068,132,247
115,solved,83541.928000,Easy,,430.055,107,245
116,solved,107882.943000,Hard,,3296.224,1201,2072
