seed,status,score,bucket,reason,elapsed_ms,expanded_nodes,unique_states
7948,unknown,,unknown,limits_reached,13128.652,17975,106173
7949,solved,141232.123000,Medium,,1669.652,1146,2020
7950,unknown,,unknown,limits_reached,20004.317,19497,147865
7951,solved,137976.486000,Medium,,2305.874,1216,2509
7952,unknown,,unknown,limits_reached,20001.732,32206,100357
7953,unknown,,unknown,limits_reached,20001.475,30807,108843
7954,solved,157395.863000,Hard,,2643.356,1820,2604
7955,unknown,,unknown,limits_reached,20002.819,18276,144278
7956,solved,130956.054000,Easy,,2812.740,2506,3924
7957,solved,168323.625000,Hard,,1478.884,978,1903
7958,unknown,,unknown,limits_reached,20004.254,11672,136002
7959,solved,140154.920000,Medium,,5812.885,2567,3351
7960,unknown,,unknown,limits_reached,20001.983,19545,110985
7961,unknown,,unknown,limits_reached,20005.668,12041,133407
7962,unknown,,unknown,limits_reached,20003.788,20237,145052
7963,solved,136114.756000,Medium,,2295.490,1534,3934
7964,unknown,,unknown,limits_reached,20003.385,20387,99966
7965,unknown,,unknown,limits_reached,20003.640,15627,117064
7966,unknown,,unknown,limits_reached,20002.459,14236,141690
7967,unknown,,unknown,limits_reached,20003.209,14680,136130
7968,solved,153687.035000,Hard,,2188.282,1091,3321
7969,unknown,,unknown,limits_reached,20009.405,13051,145147
7970,solved,153721.126000,Hard,,5141.643,3356,8095
7971,unknown,,unknown,limits_reached,20006.139,14939,112042
7972,unknown,,unknown,limits_reached,20005.855,15428,145330
7973,unknown,,unknown,limits_reached,20002.036,21539,108779
7974,solved,166025.535000,Hard,,4562.033,2749,4369
7975,unknown,,unknown,limits_reached,20099.534,21356,144807
7976,unknown,,unknown,limits_reached,20005.619,15249,137309
7977,unknown,,unknown,limits_reached,20001.922,17602,97432
7978,solved,142169.827000,Medium,,5104.695,4960,6341
7979,unknown,,unknown,limits_reached,7071.814,7192,129574
7980,unknown,,unknown,limits_reached,7063.919,9049,116519
7981,unknown,,unknown,limits_reached,20000.839,37299,85017
7982,unknown,,unknown,limits_reached,20011.173,11281,144004
7983,solved,139797.052000,Medium,,2983.741,1585,3303
7984,unknown,,unknown,limits_reached,20005.120,16144,126226
7985,unknown,,unknown,limits_reached,20002.634,21507,157038
7986,unknown,,unknown,limits_reached,20001.654,28367,73988
7987,unknown,,unknown,limits_reached,20026.425,27532,89410
7988,unknown,,unknown,limits_reached,20175.730,16534,125853
7989,unknown,,unknown,limits_reached,20313.092,13485,127601
7990,unknown,,unknown,limits_reached,7198.780,10249,90944
7991,unknown,,unknown,limits_reached,8370.166,13084,104591
7992,unknown,,unknown,limits_reached,20011.483,10794,149291
7993,solved,138194.002000,Medium,,3733.586,2006,6670
7994,solved,133299.743000,Easy,,3228.644,1564,3576
7995,unknown,,unknown,limits_reached,20011.341,17212,103256
7996,unknown,,unknown,limits_reached,20070.823,20772,101703
7997,unknown,,unknown,limits_reached,20178.235,13192,127154
7998,unknown,,unknown,limits_reached,20002.191,23565,121655
7999,solved,147135.998000,Hard,,1517.130,835,3328
8000,unknown,,unknown,limits_reached,20005.005,11202,131412
8001,unknown,,unknown,limits_reached,20007.861,18341,111085
8002,unknown,,unknown,limits_reached,20002.165,19819,136004
8003,solved,142131.049000,Medium,,1403.415,988,2118
8004,unknown,,unknown,limits_reached,20008.798,21464,107044
8005,solved,179769.269000,Hard,,2589.458,2434,2953
8006,unknown,,unknown,limits_reached,20011.158,14057,140947
8007,unknown,,unknown,limits_reached,20007.254,17494,129189
8008,unknown,,unknown,limits_reached,20002.327,15500,117170
8009,unknown,,unknown,limits_reached,20004.835,19787,104869
8010,solved,135548.188000,Medium,,928.446,507,1344
8011,unknown,,unknown,limits_reached,20153.721,23387,129402
8012,solved,135304.939000,Easy,,2070.104,624,2261
8013,solved,145162.023000,Hard,,1978.452,1121,2046
8014,unknown,,unknown,limits_reached,20001.074,26323,146990
8015,unknown,,unknown,limits_reached,20003.475,18922,128938
8016,unknown,,unknown,limits_reached,20002.414,18261,126915
8017,unknown,,unknown,limits_reached,20106.856,16257,158223
8018,unknown,,unknown,limits_reached,13138.825,12629,124188
8019,unknown,,unknown,limits_reached,20019.273,10086,118567
8020,unknown,,unknown,limits_reached,20000.461,33295,78769
8021,unknown,,unknown,limits_reached,20001.242,36509,50908
8022,solved,151372.821000,Hard,,3873.121,1808,3891
8023,unknown,,unknown,limits_reached,20002.908,24064,142845
8024,unknown,,unknown,limits_reached,20005.000,17085,120204
8025,unknown,,unknown,limits_reached,13291.973,36913,59556
